disease,drug
pain,"tramadol, gabapentin, ibuprofen, oxycodone, acetaminophen / hydrocodone, acetaminophen, hydrocodone, naproxen, ketorolac, amitriptyline, acetaminophen / oxycodone"
pain/fever,"acetaminophen / aspirin / caffeine, naproxen / pseudoephedrine, acetaminophen / dextromethorphan / phenylephrine, acetaminophen / dextromethorphan / doxylamine / phenylephrine"
pancreatic cancer,"gemcitabine, fluorouracil, capecitabine, everolimus, paclitaxel protein-bound, pancreatin, methotrexate, irinotecan liposomal, erlotinib, bevacizumab, sunitinib, mitomycin, streptozocin, cetuximab, olaparib"
pancreatic exocrine dysfunction,pancrelipase
pancreatic secretion,sincalide
pancreatitis,"pancreatin, albumin human"
panic disorder,"clonazepam, alprazolam, lorazepam, buspirone, sertraline, propranolol, fluoxetine, citalopram, venlafaxine, bupropion, paroxetine"
paracoccidioidomycosis,"amphotericin b, itraconazole, ketoconazole"
paraganglioma,iobenguane I 131
"paragonimus westermani, lung fluke",praziquantel
paranoid disorder,"risperidone, quetiapine, olanzapine, clozapine, ziprasidone"
parkinson's disease,"carbidopa / levodopa, ropinirole, amantadine, pramipexole, selegiline, rasagiline, benztropine, trihexyphenidyl, entacapone, carbidopa / entacapone / levodopa"
parkinson's disease psychosis,pimavanserin
parkinsonian tremor,"carbidopa, zonisamide, scopolamine, nadolol, belladonna"
parkinsonism,levodopa
paronychia,"nystatin, clotrimazole, mupirocin, econazole, bacitracin / neomycin / polymyxin b, bacitracin / hydrocortisone / neomycin / polymyxin b, gentamicin"
paroxysmal nocturnal hemoglobinuria,"eculizumab, ravulizumab"
paroxysmal supraventricular tachycardia,flecainide
patency maintenance of indwelling intravenous devices,heparin flush
patent ductus arteriosus,"indomethacin, ibuprofen, alprostadil"
pathological hypersecretory conditions,"ranitidine, esomeprazole, famotidine"
pathological hypersecretory disorder,magnesium oxide
pediatric angiocardiography,ioversol
pediatric growth hormone deficiency,somatropin
pellagra,niacin
pelvic infections,"ertapenem, cilastatin / imipenem"
pelvic inflammatory disease,"doxycycline, metronidazole, clindamycin, azithromycin, ceftriaxone, levofloxacin, cefotaxime, ofloxacin, ceftazidime"
pemphigoid,"dapsone, prednisone, prednisolone, doxycycline, azathioprine, mycophenolate mofetil, methotrexate, minocycline, erythromycin, rituximab, tetracycline, cyclophosphamide"
pemphigus,"prednisone, dapsone, niacinamide, azathioprine, prednisolone, rituximab, methotrexate, mycophenolate mofetil, dexamethasone, doxycycline, cyclophosphamide, tetracycline, cyclosporine, minocycline"
pemphigus vulgaris,rituximab
penicillin sensitization testing,benzylpenicilloyl-polylysine
peptic ulcer,"pantoprazole, famotidine, glycopyrrolate, chlordiazepoxide / clidinium, aluminum hydroxide, methscopolamine, propantheline, belladonna, clidinium"
percutaneous coronary intervention,"clopidogrel, eptifibatide, bivalirudin, cangrelor"
performance anxiety,propranolol
perimenopausal symptoms,"progesterone, clonidine, estradiol / progesterone, ospemifene"
period pain (dysmenorrhea),"ibuprofen, naproxen, mefenamic acid, diclofenac, ketoprofen, celecoxib"
periodic limb movement disorder,"clonazepam, gabapentin, ropinirole, pramipexole, baclofen, levodopa"
periodontitis,"doxycycline, chlorhexidine, minocycline, carbamide peroxide"
perioral dermatitis,"clindamycin, metronidazole, benzoyl peroxide, erythromycin, pimecrolimus, tacrolimus"
peripheral angiography,iohexol
peripheral arterial disease,"clopidogrel, vorapaxar, rivaroxaban"
peripheral arteriography,"iodixanol, iopromide, ioversol"
peripheral neuropathy,"gabapentin, duloxetine, levocarnitine, carbamazepine, pregabalin, capsaicin, phenytoin"
peripheral progenitor cell transplantation,filgrastim
peripheral t-cell lymphoma,"pralatrexate, romidepsin, belinostat"
peritoneal cancer,"bevacizumab, niraparib"
peritoneal dialysis,lvp solution
peritonitis,"clindamycin, metronidazole, ciprofloxacin, vancomycin, ceftazidime, cefotaxime, ceftriaxone, albumin human, cefazolin, cilastatin / imipenem, gentamicin, piperacillin / tazobactam, cefuroxime"
pernicious anemia,cyanocobalamin
persistent depressive disorder,"bupropion, sertraline, duloxetine, citalopram, amitriptyline, fluoxetine, paroxetine, fluvoxamine"
pertussis,"azithromycin, erythromycin, clarithromycin"
pertussis prophylaxis,"clarithromycin, azithromycin, diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / pertussis, acellular / tetanus toxoid, diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular, diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
peyronie's disease,collagenase clostridium histolyticum
pharyngitis,"azithromycin, prednisone, cephalexin, erythromycin, clarithromycin, ampicillin, dicloxacillin"
phenylketonuria,"sapropterin, pegvaliase"
pheochromocytoma,"phenoxybenzamine, labetalol, propranolol, metyrosine, phentolamine, iobenguane I 131"
pheochromocytoma diagnosis,"phentolamine, clonidine"
photoaging of the skin (dermatoheliosis),tretinoin
physical urticaria,"cetirizine, fexofenadine, loratadine"
pinworm infection (enterobius vermicularis),"mebendazole, albendazole, pyrantel"
pituitary adenoma,octreotide
pityriasis rubra pilaris,"triamcinolone, acitretin, methotrexate, urea, isotretinoin, lactic acid"
plague,"ciprofloxacin, levofloxacin, streptomycin, doxycycline, gentamicin, chloramphenicol, moxifloxacin, ofloxacin"
plague prophylaxis,"levofloxacin, ciprofloxacin, moxifloxacin"
plantar fasciitis,"ibuprofen, acetaminophen"
plantar fibromatosis,"clobetasol, triamcinolone"
plaque psoriasis,"betamethasone, calcipotriene, apremilast, betamethasone / calcipotriene, methylprednisolone, etanercept, adalimumab, secukinumab, dexamethasone, ixekizumab, brodalumab, hydroxyurea"
platelet aggregation inhibition,clopidogrel
pleural effusion,"doxycycline, sterile talc"
pneumococcal disease prophylaxis,"pneumococcal 13-valent vaccine, pneumococcal 23-polyvalent vaccine"
pneumocystis pneumonia,"dapsone, sulfamethoxazole / trimethoprim, atovaquone, pentamidine, clindamycin, trimethoprim, leucovorin, primaquine"
pneumocystis pneumonia prophylaxis,"dapsone, sulfamethoxazole / trimethoprim, pentamidine, atovaquone, leucovorin, pyrimethamine"
pneumonia,"levofloxacin, clarithromycin, ceftriaxone, azithromycin, doxycycline, amoxicillin, ciprofloxacin, clindamycin, cefdinir, amoxicillin / clavulanate, sulfamethoxazole / trimethoprim, cefotaxime, metronidazole, moxifloxacin, cefuroxime"
pneumonia with cystic fibrosis,"ceftazidime, ciprofloxacin, cilastatin / imipenem, aztreonam, piperacillin"
poison ivy,pramoxine / zinc acetate
poison oak,pramoxine / zinc acetate
poison sumac,pramoxine / zinc acetate
poliomyelitis prophylaxis,"poliovirus vaccine, inactivated, diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
polychondritis,infliximab
polycystic kidney disease,"enalapril, lisinopril, captopril"
polycystic ovary syndrome,"metformin, ethinyl estradiol / levonorgestrel, desogestrel / ethinyl estradiol, ethinyl estradiol / norethindrone, drospirenone / ethinyl estradiol, drospirenone / ethinyl estradiol / levomefolate calcium"
polycythemia vera,"hydroxyurea, ruxolitinib"
polymyalgia rheumatica,"prednisone, ibuprofen"
polymyositis/dermatomyositis,"prednisone, immune globulin intravenous, corticotropin"
pompe disease,alglucosidase alfa
pork tapeworm infection (taenia solium),"praziquantel, paromomycin"
porphyria,"chlorpromazine, hemin, givosiran"
portal hypertension,"propranolol, nadolol"
positron emission tomography imaging,"florbetapir F 18, gallium ga 68 dotatate, rubidium chloride rb-82, flutemetamol f-18, choline c-11, florbetaben f-18, fluciclovine F 18, gallium ga-68 dotatoc"
post traumatic stress disorder,"prazosin, sertraline, lamotrigine, mirtazapine, quetiapine, amitriptyline, paroxetine, venlafaxine, risperidone, desvenlafaxine, aripiprazole, dronabinol, asenapine, fluvoxamine"
post-cholecystectomy diarrhea,cholestyramine
post-polio syndrome,amantadine
postanesthetic shivering,"ondansetron, clonidine"
postherpetic neuralgia,"gabapentin, capsaicin, nortriptyline, pregabalin, gabapentin enacarbil, clonidine, lidocaine"
postmenopausal symptoms,"estradiol, conjugated estrogens, estradiol / norethindrone, gabapentin, conjugated estrogens / medroxyprogesterone, ethinyl estradiol / norethindrone, estropipate"
postoperative albumin loss,albumin human
postoperative gas pains,"simethicone, vasopressin"
postoperative ileus,alvimopan
postoperative increased intraocular pressure,"nepafenac, apraclonidine"
postoperative ocular inflammation,"prednisolone, ketorolac, bromfenac, diclofenac, nepafenac, difluprednate, loteprednol, dexamethasone, dexamethasone / tobramycin"
postoperative pain,"ketorolac, fentanyl, bupivacaine"
postpartum bleeding,"methylergonovine, misoprostol, oxytocin, carboprost"
postpartum breast pain,"testosterone, methyltestosterone"
postpartum depression,"sertraline, citalopram, fluoxetine, venlafaxine, paroxetine, brexanolone"
postural orthostatic tachycardia syndrome,"midodrine, fludrocortisone, sodium chloride, clonidine, methylphenidate, bupropion, labetalol, octreotide"
pouchitis,"metronidazole, ciprofloxacin"
prader-willi syndrome,somatropin
pre-exposure prophylaxis,"emtricitabine / tenofovir, emtricitabine / tenofovir alafenamide"
precocious puberty,"tamoxifen, leuprolide, histrelin, triptorelin, nafarelin"
premature ejaculation,"fluoxetine, clomipramine, benzocaine"
premature labor,"progesterone, nifedipine, terbutaline, hydroxyprogesterone"
premature ventricular depolarizations,"metoprolol, bisoprolol, acebutolol"
premenstrual dysphoric disorder,"fluoxetine, sertraline, citalopram, escitalopram, paroxetine, bupropion, venlafaxine, drospirenone / ethinyl estradiol, drospirenone / ethinyl estradiol / levomefolate calcium, acetaminophen / pamabrom / pyrilamine, pamabrom"
premenstrual syndrome,"acetaminophen / pamabrom / pyrilamine, ethinyl estradiol / levonorgestrel, acetaminophen / caffeine / pyrilamine, pamabrom, acetaminophen / pamabrom"
prepubertal cryptorchidism,chorionic gonadotropin (hcg)
prevention of atherothrombotic events,"ticagrelor, vorapaxar"
prevention of bladder infection (cystitis prophylaxis),"nitrofurantoin, methenamine, trimethoprim, sulfamethoxazole / trimethoprim"
prevention of cardiovascular disease,"atorvastatin, rosuvastatin, simvastatin, telmisartan, aspirin / omeprazole, amlodipine / atorvastatin"
prevention of clostridioides difficile infection recurrence,bezlotoxumab
prevention of dental caries,fluoride
prevention of falls,cholecalciferol
prevention of fractures,cholecalciferol
prevention of hypokalemia,"potassium chloride, potassium gluconate, potassium bicarbonate, potassium bicarbonate / potassium chloride"
prevention of osteoporosis,"alendronate, raloxifene, ibandronate, risedronate, zoledronic acid, ethinyl estradiol / norethindrone, bazedoxifene / conjugated estrogens, estradiol / levonorgestrel"
prevention of perinatal group b streptococcal disease,"clindamycin, ampicillin, cefazolin, vancomycin, penicillin g sodium, penicillin g potassium"
prevention of phototoxicity in erythropoietic protoporphyria,afamelanotide
prevention of radiographic contrast nephropathy,fenoldopam
prevention of sunburn,zinc oxide
prevention of thromboembolism in atrial fibrillation,"warfarin, aspirin, apixaban, dabigatran, rivaroxaban, edoxaban"
primary biliary cholangitis,"ursodiol, colchicine, azathioprine, obeticholic acid"
primary hyperaldosteronism,spironolactone
primary hyperaldosteronism diagnosis,spironolactone
primary hyperparathyroidism,cinacalcet
primary igf-1 deficiency,mecasermin
primary immunodeficiency syndrome,"immune globulin intravenous, immune globulin subcutaneous, immune globulin intravenous and subcutaneous, hyaluronidase / immune globulin"
primary mediastinal large b-cell lymphoma,pembrolizumab
primary nocturnal enuresis,"desmopressin, imipramine, nortriptyline"
primary ovarian failure,"estradiol, conjugated estrogens, conjugated estrogens / medroxyprogesterone, estropipate, esterified estrogens, ethinyl estradiol"
primary periodic paralysis,dichlorphenamide
proctitis,"hydrocortisone, doxycycline, ceftriaxone"
production of miosis,"carbachol, pilocarpine, acetylcholine"
progesterone insufficiency,progesterone
prostate cancer,"bicalutamide, leuprolide, abiraterone, enzalutamide, degarelix, goserelin, docetaxel, estradiol, flutamide, triptorelin"
prostatitis,"ciprofloxacin, doxycycline, oxybutynin, levofloxacin, sulfamethoxazole / trimethoprim, cephalexin, moxifloxacin, ofloxacin"
prosthetic heart valves - thrombosis prophylaxis,"aspirin, warfarin, dipyridamole"
"prosthetic heart valves, mechanical valves - thrombosis prophylaxis","warfarin, aspirin"
"prosthetic heart valves, tissue valves - thrombosis prophylaxis",warfarin
protein c deficiency,protein c
protein s deficiency,warfarin
pruritus,"hydroxyzine, diphenhydramine, gabapentin, hydrocortisone, cyproheptadine, doxepin, ondansetron, ammonium lactate, calamine, lidocaine"
pruritus of partial biliary obstruction,cholestyramine
pseudoallescheriosis,voriconazole
pseudobulbar affect,dextromethorphan / quinidine
"pseudogout, prophylaxis",colchicine
pseudohypoparathyroidism,"calcium lactate, calcium phosphate, tribasic"
pseudomembranous colitis,"metronidazole, vancomycin"
pseudotumor cerebri,acetazolamide
psittacosis,"doxycycline, tetracycline, chloramphenicol, minocycline"
psoriasis,"clobetasol, methotrexate, triamcinolone, fluocinonide, calcipotriene, mometasone, desonide, prednisone, acitretin, cyclosporine, hydrocortisone, ustekinumab, adalimumab, betamethasone / calcipotriene"
psoriatic arthritis,"methotrexate, prednisone, sulfasalazine, leflunomide, etanercept, infliximab, adalimumab, apremilast, secukinumab, dexamethasone, triamcinolone, certolizumab, ustekinumab"
psychosis,"haloperidol, perphenazine, chlorpromazine, fluphenazine, prochlorperazine, thiothixene, iloperidone"
pubertal gynecomastia,"anastrozole, clomiphene"
pudendal neuralgia,"gabapentin, amitriptyline"
pulmonary edema,"furosemide, bumetanide, ethacrynic acid"
pulmonary embolism,"rivaroxaban, apixaban, heparin, fondaparinux, dabigatran, alteplase, edoxaban, urokinase"
"pulmonary embolism, first event",warfarin
"pulmonary embolism, recurrent event","warfarin, rivaroxaban"
pulmonary fibrosis,"mycophenolate mofetil, infliximab"
pulmonary hypertension,"sildenafil, isosorbide dinitrate, tadalafil, ambrisentan, bosentan, treprostinil, macitentan, epoprostenol, iloprost, riociguat"
pulmonary tuberculosis,dexamethasone
pupillary dilation,"atropine, phenylephrine, tropicamide, cyclopentolate, epinephrine"
pyoderma gangrenosum,infliximab
q fever,"doxycycline, minocycline"
rabbit fever (tularemia),"doxycycline, streptomycin, ciprofloxacin, gentamicin, tobramycin, chloramphenicol, minocycline"
rabies prophylaxis,"rabies immune globulin, human, rabies vaccine, purified chick embryo cell, rabies vaccine, human diploid cell"
radiation emergency,"potassium iodide, pentetate calcium trisodium, prussian blue, pentetate zinc trisodium"
radiculopathy,"naproxen, ibuprofen"
radiographic exam,metoclopramide
radionuclide myocardial perfusion study,"dipyridamole, adenosine, regadenoson"
ramsay hunt syndrome,"acyclovir, prednisone, valacyclovir"
rat-bite fever,"penicillin v potassium, penicillin g sodium, penicillin g potassium, procaine penicillin"
raynaud's syndrome,"nifedipine, amlodipine, diltiazem, nitroglycerin, felodipine, prazosin, trolamine salicylate, doxazosin, isoxsuprine, isradipine, nisoldipine"
reactive perforating collangenosis,allopurinol
reduction of perinatal transmission of hiv,"zidovudine, nevirapine"
reflex sympathetic dystrophy syndrome,"gabapentin, trazodone, amitriptyline, nortriptyline, milnacipran, pregabalin, doxepin, carbamazepine"
"refraction, assessment","cyclopentolate, atropine, tropicamide, homatropine"
reiter's syndrome,adalimumab
rejection prophylaxis,"mycophenolic acid, belatacept, muromonab-cd3"
rejection reversal,muromonab-cd3
renal angiomyolipoma,everolimus
renal arteriography,"iodixanol, ioversol"
renal cell carcinoma,"pazopanib, sunitinib, axitinib, nivolumab, sorafenib, everolimus, bevacizumab, cabozantinib, medroxyprogesterone, aldesleukin, capecitabine, temsirolimus, lenvatinib"
renal failure,"furosemide, torsemide, ethacrynic acid"
renal osteodystrophy,"calcitriol, ergocalciferol, calcifediol"
renal transplant,"furosemide, azathioprine, anti-thymocyte globulin (rabbit), lymphocyte immune globulin, anti-thy (equine)"
renal tubular acidosis,potassium citrate
respiratory depression,doxapram
respiratory distress syndrome,"beractant, poractant, calfactant"
respiratory failure,"nitric oxide, caffeine / sodium benzoate"
respiratory syncytial virus,"ribavirin, palivizumab"
restless legs syndrome,"ropinirole, pramipexole, gabapentin, clonazepam, tramadol, carbidopa / levodopa, pregabalin, clonidine, gabapentin enacarbil, rotigotine, lamotrigine, levodopa"
retinal disorders,voretigene neparvovec
retinopathy,ranibizumab
retinopathy prophylaxis,vitamin e
"revascularization procedures, prophylaxis","aspirin, pravastatin"
reversal of acquired coagulation factor deficiency,prothrombin complex
reversal of anesthesia,phentolamine
reversal of anticoagulation,coagulation factor Xa
reversal of dabigatran anticoagulation,idarucizumab
reversal of neuromuscular blockade,"neostigmine, sugammadex"
reversal of nondepolarizing muscle relaxants,"pyridostigmine, neostigmine, sugammadex, atropine / edrophonium"
reversal of opioid sedation,naloxone
reversal of sedation,flumazenil
"reversible airways disease, maintenance","budesonide, beclomethasone"
rh-isoimmunization,rho (d) immune globulin
rhabdomyosarcoma,"vincristine, dactinomycin"
rheumatic fever,aspirin
rheumatic fever prophylaxis,"penicillin v potassium, erythromycin, sulfadiazine, penicillin g benzathine"
rheumatoid arthritis,"methotrexate, prednisone, meloxicam, hydroxychloroquine, sulfasalazine, leflunomide, diclofenac, naproxen, celecoxib, acetaminophen / hydrocodone, ibuprofen"
rhinitis,"fluticasone, brompheniramine / phenylephrine, chlorpheniramine / methscopolamine / phenylephrine"
rhinorrhea,"ipratropium, doxylamine, acetaminophen / chlorpheniramine, triprolidine, acetaminophen / dextromethorphan / doxylamine / phenylephrine, acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine, brompheniramine / codeine, chlophedianol / dexbrompheniramine, dexbrompheniramine / phenylephrine, dextromethorphan / pyrilamine"
rickets,"calcitriol, ergocalciferol"
rickettsial infection,"doxycycline, chloramphenicol, tetracycline"
rosacea,"doxycycline, metronidazole, minocycline, azelaic acid, sulfacetamide sodium / sulfur, isotretinoin, ivermectin, brimonidine"
rubella,immune globulin intramuscular
rubella prophylaxis,"measles virus vaccine / mumps virus vaccine / rubella virus vaccine, measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine"
sapho syndrome,"etanercept, infliximab"
siadh,"demeclocycline, conivaptan"
std prophylaxis,"azithromycin, doxycycline, metronidazole, ceftriaxone, cefixime"
salivary gland cancer,trastuzumab
salmonella enteric fever,"ciprofloxacin, ofloxacin, ceftriaxone"
salmonella gastroenteritis,"ciprofloxacin, ceftriaxone, ofloxacin, cefotaxime"
sarcoidosis,"prednisone, azathioprine, corticotropin, chloroquine, dexamethasone, infliximab, triamcinolone, colchicine, adalimumab, cortisone"
scabies,"permethrin, ivermectin, crotamiton, lindane"
schilling test,"cyanocobalamin, hydroxocobalamin"
schistosoma haematobium,praziquantel
schistosoma japonicum,praziquantel
schistosoma mansoni,praziquantel
schistosoma mekongi,praziquantel
schizoaffective disorder,"quetiapine, lithium, risperidone, lamotrigine, olanzapine, aripiprazole, carbamazepine, ziprasidone, fluoxetine, paliperidone, lurasidone"
schizophrenia,"risperidone, clozapine, olanzapine, quetiapine, aripiprazole, chlorpromazine, paliperidone, ziprasidone, loxapine"
schnitzler syndrome,anakinra
sciatica,"cyclobenzaprine, naproxen, diclofenac, ibuprofen, acetaminophen, diclofenac / misoprostol, aspirin"
scleroderma,"methotrexate, prednisone, cyclophosphamide"
scrapes,"vitamin a & d, benzethonium chloride"
scurvy,ascorbic acid
seasonal affective disorder,bupropion
seasonal allergic conjunctivitis,"olopatadine, ketorolac, loteprednol"
seborrheic dermatitis,"ketoconazole, clobetasol, ciclopirox, hydrocortisone, selenium sulfide, prednisone, fluocinolone, pyrithione zinc, sulfacetamide sodium, dexamethasone, sulfacetamide sodium / sulfur, coal tar"
seborrheic keratosis,hydrogen peroxide
secondary cutaneous bacterial infections,"mupirocin, sulfacetamide sodium"
secondary hyperparathyroidism,"calcitriol, paricalcitol, cinacalcet, doxercalciferol"
sedation,"trazodone, hydroxyzine, lorazepam, promethazine, fentanyl, dexmedetomidine, phenobarbital, secobarbital"
seizure prevention (seizure prophylaxis),"lamotrigine, clonazepam, topiramate, diazepam, valproic acid, magnesium sulfate, clorazepate, acetazolamide"
seizure prophylaxis during or following neurosurgery,phenytoin
seizures (convulsions),"levetiracetam, phenobarbital, phenytoin, diazepam, oxcarbazepine, zonisamide, topiramate, valproic acid, primidone"
sepsis,"vancomycin, ceftriaxone, cefuroxime, ceftazidime, cefotaxime, tobramycin, filgrastim"
septicemia,"cilastatin / imipenem, ceftazidime, cefotaxime, ceftriaxone, piperacillin, oxacillin, cefazolin, ampicillin, cefoxitin, penicillin g potassium, penicillin g sodium"
serosal cavity neoplastic disease,thiotepa
serum sickness,corticotropin
severe mood dysregulation,"risperidone, citalopram, methylphenidate"
"sexual dysfunction, ssri induced","buspirone, sildenafil, bupropion, dextroamphetamine, cyproheptadine, amantadine"
shift work sleep disorder,"modafinil, armodafinil"
shigellosis,"ciprofloxacin, sulfamethoxazole / trimethoprim, ceftriaxone, ampicillin, ofloxacin"
shock,"dopamine, norepinephrine, epinephrine, hydrocortisone, dobutamine, methylprednisolone, dexamethasone, albumin human, phenylephrine"
short bowel syndrome,"glutamine, teduglutide, somatropin"
short stature for age,somatropin
shunt infection,"vancomycin, tobramycin"
sialorrhea,"incobotulinumtoxinA, rimabotulinumtoxinB"
sinus symptoms,"mometasone, guaifenesin / phenylephrine, ibuprofen / pseudoephedrine, acetaminophen / chlorpheniramine / phenylephrine, acetaminophen / phenylephrine, acetaminophen / pseudoephedrine, dexbrompheniramine / pseudoephedrine, naproxen / pseudoephedrine, acetaminophen / dextromethorphan / phenylephrine"
sinusitis,"amoxicillin, prednisone, amoxicillin / clavulanate, cefdinir, azithromycin, levofloxacin, cefuroxime, clarithromycin, ciprofloxacin, clindamycin, sulfamethoxazole / trimethoprim, moxifloxacin"
sitosterolemia,ezetimibe
sjogren's syndrome,"hydroxychloroquine, cevimeline, infliximab"
skin cancer,fluorouracil
"skin disinfection, preoperative",chlorhexidine
skin pigmentation disorder,tazarotene
skin rash,"hydrocortisone, prednisone, diflorasone, tetracaine"
skin and structure infection,"mupirocin, amoxicillin / clavulanate, azithromycin, gentamicin, ciprofloxacin, minocycline, cefdinir, cefuroxime, clarithromycin, linezolid, cefadroxil, meropenem, ceftriaxone"
skin or soft tissue infection,"cephalexin, clindamycin, doxycycline, amoxicillin, ciprofloxacin, amoxicillin / clavulanate, minocycline, azithromycin, metronidazole, clarithromycin, dicloxacillin, levofloxacin, erythromycin, cefdinir"
sleep paralysis,"clonazepam, clomipramine, methylphenidate"
small bowel bacterial overgrowth,amoxicillin / clavulanate
small bowel or pancreatic fistula,octreotide
small cell lung cancer,"etoposide, topotecan, methotrexate, nivolumab, cyclophosphamide, atezolizumab, pembrolizumab"
small fiber neuropathy,"gabapentin, duloxetine, pregabalin"
small intestine intubation,metoclopramide
smallpox,tecovirimat
smallpox prophylaxis,"smallpox vaccine, smallpox and monkeypox vaccine"
smallpox vaccine reaction,cidofovir
smoking cessation,"bupropion, nicotine, varenicline, clonidine, topiramate, naltrexone, nortriptyline"
social anxiety disorder,"sertraline, paroxetine, venlafaxine, fluvoxamine, risperidone, atomoxetine"
soft tissue sarcoma,"pazopanib, doxorubicin, methotrexate, trabectedin, olaratumab"
solid tumors,"pembrolizumab, methotrexate, hydroxyurea, docetaxel, idarubicin, bevacizumab, larotrectinib, entrectinib"
somatoform pain disorder,"amitriptyline, venlafaxine, sertraline, escitalopram, fluoxetine, imipramine, duloxetine, milnacipran, citalopram, paroxetine, fluvoxamine, desvenlafaxine"
sore throat,"phenol, benzocaine, benzocaine / menthol, menthol, dyclonine, benzocaine / butamben / tetracaine"
spasticity,baclofen
spina bifida,oxybutynin
spinal muscular atrophy,"nusinersen, onasemnogene abeparvovec"
spinal spasticity,baclofen
spleen removal (splenectomy),amoxicillin
spondyloarthritis,"diclofenac, celecoxib, aspirin, adalimumab, etanercept, golimumab"
spondylolisthesis,"gabapentin, naproxen, ibuprofen, pregabalin"
sporotrichosis,"itraconazole, fluconazole, amphotericin b"
squamous cell carcinoma,"cetuximab, bleomycin, cemiplimab"
status epilepticus,"lorazepam, diazepam, phenytoin, midazolam, pentobarbital, fosphenytoin"
stem cell transplant conditioning,fludarabine
steroid responsive inflammatory conditions,fluorometholone
stevens-johnson syndrome,corticotropin
still's disease,"anakinra, tocilizumab, etanercept"
stomach cancer,"fluorouracil, capecitabine, doxorubicin, mitomycin, ramucirumab"
stomach ulcer (gastric ulcer),"omeprazole, pantoprazole, ranitidine, sucralfate, famotidine, lansoprazole, rabeprazole, omeprazole / sodium bicarbonate, misoprostol"
stomatitis,"sucralfate, triamcinolone"
strabismus,onabotulinumtoxinA
strep throat (streptococcal pharyngitis),"amoxicillin / clavulanate, cefdinir, clarithromycin, erythromycin, cefuroxime, gemifloxacin"
streptococcal infection,"levofloxacin, penicillin v potassium, procaine penicillin, penicillin g benzathine / procaine penicillin, penicillin g benzathine, penicillin g potassium, penicillin g sodium"
stress ulcer prophylaxis,"ranitidine, pantoprazole, sucralfate, cimetidine, aluminum hydroxide / magnesium hydroxide"
strongyloidiasis,"ivermectin, albendazole"
subarachnoid hemorrhage,nimodipine
subcorneal pustular dermatosis,infliximab
subcutaneous urography,hyaluronidase
subependymal giant cell astrocytoma,everolimus
submental fullness,deoxycholic acid
sucrase-isomaltase deficiency,sacrosidase
sunburn,"lidocaine, benzocaine, vitamin a & d"
superficial siderosis,deferiprone
supraventricular tachycardia,"metoprolol, atenolol, diltiazem, verapamil, bisoprolol, amiodarone, adenosine, flecainide, nadolol, phenylephrine, esmolol"
surgical prophylaxis,"ranitidine, clindamycin, cefazolin, metronidazole, vancomycin, cefuroxime, ceftriaxone, ciprofloxacin, gentamicin, cefotaxime, ampicillin"
sweet's syndrome,colchicine
swine flu,"oseltamivir, zanamivir, peramivir"
synovitis,"prednisone, dexamethasone, triamcinolone"
"syphilis, early","doxycycline, erythromycin, penicillin g benzathine, ceftriaxone, tetracycline"
"syphilis, latent","doxycycline, penicillin g benzathine, tetracycline, procaine penicillin"
syphilitic aortic aneurysm,penicillin g benzathine
syringomyelia,"gabapentin, tramadol, pregabalin"
systemic candidiasis,fluconazole
systemic fungal infection,"voriconazole, itraconazole, flucytosine"
systemic lupus erythematosus,"hydroxychloroquine, prednisone, azathioprine, aspirin, mycophenolate mofetil, triamcinolone, belimumab, dexamethasone"
systemic mastocytosis,"cromolyn, omeprazole, lansoprazole, imatinib, midostaurin"
systemic sclerosis,"methotrexate, prednisone, cyclophosphamide, tocilizumab"
systemic sclerosis-associated interstitial lung disease,nintedanib
tsh suppression,"levothyroxine, liothyronine, thyroid desiccated"
takayasu's arteritis,azathioprine
tapering regimen,metoprolol
tardive dyskinesia,"propranolol, vitamin e, tetrabenazine, valbenazine, clonidine, ropinirole, pramipexole, deutetrabenazine, chlordiazepoxide, bromocriptine, apomorphine"
temporal arteritis,triamcinolone
temporomandibular joint disorder,"cyclobenzaprine, diazepam, baclofen, ibuprofen, clonazepam, piroxicam"
tendonitis,"meloxicam, naproxen, indomethacin, trolamine salicylate, sulindac"
tenosynovial giant cell tumor,pexidartinib
tertiary syphilis,"doxycycline, penicillin g benzathine, tetracycline, procaine penicillin"
